Ticker,Close,Surge_Probability,Target_5pct,Stop_Loss,volume_surge_ratio,rs_nifty_1d,vol_rank_today,cmf_20,rsi_14
AVALON,2537.699951171875,0.8310769366737555,2664.584948730469,2300.7321254185267,6.499219441963182,0.14186236995061252,0.9877813504823151,0.18604038112084367,62.31289135417417
TIMEX,714.2000122070312,0.8240484030807596,749.9100128173828,663.505353655134,9.927086064145174,0.16545486245230823,0.9961414790996784,0.36194918467498943,56.08901401041641
ISFT,95.16000366210938,0.7994506067532381,99.91800384521484,86.0335750579834,2.971440937606011,0.2618317375928876,0.9434083601286174,-0.127637008281181,49.98860374065952
GRAUWEIL,86.62000274658203,0.7867596130301153,90.95100288391113,81.14158564811635,12.64132171027216,0.17428485627122803,0.9993569131832798,0.27588610075764547,78.38573835291113
SREEL,283.4700012207031,0.7717056762584052,297.6435012817383,249.29464394705636,0.22052649625670512,-0.06080772377445498,0.05594855305466238,0.24182409884619613,54.500158986197356
SAMBHV,147.57000732421875,0.7704176797938032,154.9485076904297,137.78036417279924,9.917440194436557,0.13989866426766162,0.9954983922829582,0.3208714815162923,73.19374197793496
SURAJEST,192.25,0.7684546322066863,201.8625,178.80250222342355,3.421552071969735,0.13640709418283126,0.9536977491961415,-0.1584612833692514,47.573748213097055
MACPOWER,2104.5,0.7586345371402226,2209.725,1937.2264622915104,4.351687730314461,0.1104704248459718,0.9723472668810289,0.1441879566199827,57.260856671831824
MUKKA,26.93000030517578,0.7569277355856439,28.27650032043457,23.560357775006974,0.39704225956811834,-0.0913034283475278,0.1517684887459807,0.06527098206459425,55.364317256519385
AQYLON,17.979999542236328,0.7548694203587317,18.878999519348145,15.941071510314941,10.67532874244693,-0.09103004768045808,0.997427652733119,-0.5883804837585711,31.806166325227537
NRBBEARING,525.5,0.73899303434852,551.775,489.2374954223633,11.4491506946174,0.11174372715746728,0.9980707395498393,0.5077473773515998,63.36443607369191
MEDICAMEQ,328.04998779296875,0.7276583589884186,344.4524871826172,292.63391440255305,0.28511036117103106,-0.053763910249818636,0.08102893890675242,0.24709723662264652,76.29010132500325
OMAXAUTO,182.16000366210938,0.7237185321520401,191.26800384521485,168.18000575474332,1.460194015729735,0.08686829272984853,0.7466237942122187,-0.12839964276537494,41.87130922329032
TERASOFT,236.60000610351562,0.7225862969235803,248.4300064086914,212.92143630981445,1.0223565780259556,0.006774680514025411,0.5954983922829582,-0.44459025432432936,13.397404710248281
BGRENERGY,255.6199951171875,0.7222368692612935,268.4009948730469,234.1914269583566,1.0202740810202062,0.09921824526800638,0.592282958199357,0.06677997644529637,49.74440206515135
SHILPAMED,1021.0999755859375,0.721120531199262,1072.1549743652345,943.5019142343754,1.360914165488613,0.09700661994493665,0.7170418006430869,0.3378419598403949,63.82793098137354
ATGL,660.7000122070312,0.7045182070671843,693.7350128173829,630.6250108991351,15.717827297922035,0.12325587217728584,1.0,0.44842517761534917,57.721770631030736
MWL,42.52000045776367,0.7009766578738406,44.64600048065186,37.91285760062081,1.6821572439804882,0.06669730929713968,0.8109324758842443,-0.2770833062210058,59.81236683761361
GEEKAYWIRE,33.25,0.7005810604258951,34.9125,30.006496641726283,2.1465117986837456,-0.009533486054807416,0.8823151125401929,-0.01192016230138729,72.76566582684893
SALSTEEL,82.26000213623047,0.6990324503346037,86.373002243042,74.83607346670968,0.4188533726414636,0.09912804489325566,0.1639871382636656,-0.012884506837071909,65.57664730389872
VISAKAIND,97.36000061035156,0.6990042468443877,102.22800064086914,91.45856939043317,2.74443388988835,0.1138969564384471,0.935048231511254,-0.21917443109710463,64.38968721832114
IRISDOREME,64.58000183105469,0.6975299257659536,67.80900192260742,60.05107402801514,2.0963768025422462,0.10674610063996792,0.8765273311897106,0.18329784238409508,65.60299743716153
ASIANHOTNR,374.8999938964844,0.6967152802711427,393.6449935913086,331.6732068743024,0.25490580731070556,-0.038387961833177275,0.06623794212218649,0.40962371505813794,71.19729954326323
KAMATHOTEL,229.3000030517578,0.6948599299967997,240.7650032043457,209.31143515450614,0.38065719285332883,0.08927169073290453,0.1440514469453376,0.22651479122147242,46.293062349318575
SHIVALIK,372.1000061035156,0.6914195526437145,390.7050064086914,330.92501068115234,0.8450024728820132,-0.047070771483775586,0.48488745980707393,0.2210620281182413,64.07767360662749
